title,year,rating,genre,description,image_path,movie_url,large_image_path
Everything Everywhere All at Once,2022,4.27,action,Details,images/Everything_Everywhere_All_at_Once_2022.jpg,/film/everything-everywhere-all-at-once/,
Spider-Man: Into the Spider-Verse,2018,4.41,action,"<strong>More than one wears the mask.</strong><br>Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson “Kingpin” Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.<br><br><strong>Cast:</strong> Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry, Lily Tomlin, Luna Lauren Velez, Zoë Kravitz, John Mulaney, Kimiko Glenn, Nicolas Cage, Kathryn Hahn, Liev Schreiber, Chris Pine, Natalie Morales, Edwin H. Bravo, Oscar Isaac, Greta Lee, Stan Lee, Jorma Taccone, Joaquín Cosío, Marvin Jones III, Kim Yarbrough, Lake Bell, Jessica Mikayla Adams, Gredel Berrios Calladine, Sarah D. Cole, Kelby Joseph, Mimi Davila, Claudia Choi, Melanie Haynes, Joseph Izzo, Nick Jaine, Muneeb Rehman, Carlos Zaragoza, Post Malone, David Applebee, Juan Carlos Arvelo, Adam Brown, Jon Bruno, Darcy Rose Byrnes, Oscar Camacho, June Christopher, Alycia Cooper, Michelle Jubilee Gonzalez, Terrence Hardy Jr., Bridget Hoffman, Rif Hutton, Miguel Jiron, Harrison Knight, Lex Lang, Donna Lynn Leavy, Andrew Leviton, Caitlin McKenna, Scott Menville, Christopher Miller, Arthur Ortiz, Juan Pacheco, Devika Parikh, Shakira Ja'nai Paye, Courtney Peldon, Chrystee Pharris, Jacqueline Pinol, Juan Pope, Al Rodrigo, Joseph Sanfelippo, Justin Shenkarow, Dennis Singletary, Warren Sroka, Melissa Sturm, Holly Walker, Jason Linere-White, Ruth Zalduondo",images/Spider_Man__Into_the_Spider_Verse_2018.jpg,/film/spider-man-into-the-spider-verse/,images/Spider_Man__Into_the_Spider_Verse_2018_large.jpg
The Dark Knight,2008,4.48,action,Details,images/The_Dark_Knight_2008.jpg,/film/the-dark-knight/,
Parasite,2019,4.54,drama,"<strong>Act like you own the place.</strong><br>All unemployed, Ki-taek’s family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",images/Parasite_2019.jpg,/film/parasite-2019/,images/Parasite_2019_large.jpg
Interstellar,2014,4.42,drama,"<strong>Mankind was born on Earth. It was never meant to die here.</strong><br>The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.<br><br><strong>Cast:</strong> Matthew McConaughey, Anne Hathaway, Michael Caine, Jessica Chastain, Casey Affleck, Wes Bentley, Topher Grace, Mackenzie Foy, Ellen Burstyn, John Lithgow, Bill Irwin, David Gyasi, Timothée Chalamet, Matt Damon, Josh Stewart, Leah Cairns, Liam Dickinson, Francis X. McCarthy, William Devane, Andrew Borba, Elyes Gabel, David Oyelowo, Collette Wolfe, Jeff Hephner, Russ Fega, Lena Georgas, Brooke Smith, Flora Nolan, Griffen Fraser, Kristian Van der Heyden, William Patrick Brown, Benjamin Hardy, Joseph Oliveira, Alexander Michael Helisek",images/Interstellar_2014.jpg,/film/interstellar/,images/Interstellar_2014_large.jpg
Fight Club,1999,4.27,drama,Details,images/Fight_Club_1999.jpg,/film/fight-club/,
Barbie,2023,3.77,comedy,Details,images/Barbie_2023.jpg,/film/barbie/,
La La Land,2016,4.12,comedy,Details,images/La_La_Land_2016.jpg,/film/la-la-land/,
Pulp Fiction,1994,4.25,thriller,Details,images/Pulp_Fiction_1994.jpg,/film/pulp-fiction/,
Joker,2019,3.84,thriller,"<strong>Put on a happy face.</strong><br>During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.<br><br><strong>Cast:</strong> Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Shea Whigham, Bill Camp, Glenn Fleshler, Leigh Gill, Josh Pais, Rocco Luna, Marc Maron, Sondra James, Murphy Guyer, Douglas Hodge, Dante Pereira-Olson, Carrie Louise Putrello, Sharon Washington, Hannah Gross, Frank Wood, Brian Tyree Henry, April Grace, Mick Szal, Carl Lundstedt, Michael Benz, Ben Warheit, Gary Gulman, Sam Morril, Chris Redd, Mandela Bellamy, Demetrius Dotson II, Greer Barnes, Ray Iannicelli, Bryan Callen, Peter Hans Benson, Vito Gerbino, Adam Quezada, Xavyer Ureña, Evan Rosado, Damian Emmanuel, Mike Troll, Jane Fergus, David Gibson, Tony D. Head, Jeff McCarthy, Kim Brockington, Troy Roberts, Lou Young, Michael-Scott Druckenmiller, Craig Austin, John Cenatiempo, Danny Schoch, Keith Buterbaugh, James Ciccone, Rich Campbell, Roger Squitero, Steven Elson, Graham Mabry, John Alldred, Alonzo Wright, Jack Wilkins, Richard Baratta, Mary Kate Malat, Adrienne Acevedo Lovette, Justin Theroux, Alissa Bourne, Jamaal Burcher, John Cashin, Jason John Cicalese, Brendan Patrick Connor, Blaise Corrigan, Dennis Jay Funny, James P. Harkins, Joseph Hernandez, Ben Heyman, Graham Maby, Jesse Schratz, Isabella Ferreira, Shade Rupe, Michael Lepre, Will Johnson",images/Joker_2019.jpg,/film/joker-2019/,images/Joker_2019_large.jpg
